Japanese_Term,Japanese_Romaji,Cantonese_Keep_As,Notes
シャア・アズナブル,Shaa Azunaaburu,沙亞·亞茲納布爾 / 馬沙,Main character - proper noun
アムロ・レイ,Amuro Rei,阿姆羅·雷,Main character - proper noun
クワトロ・バジーナ,Kuatoro Bajiina,庫瓦多羅·巴吉納,Char's alternate identity
ブライト・ノア,Buraito Noa,布萊德·諾亞,Military commander
ハサウェイ・ノア,Hasawei Noa,哈薩維·諾亞,Supporting character
ナナイ・ミゲル,Nanai Migeru,娜奈·米格爾,Neo Zeon officer
ギュネイ・ガス,Gyunei Gasu,基尼·戈斯,Cyber-Newtype pilot
アナハイム・エレクトロニクス,Anahaim Erekutoronikusu,阿納海姆電子公司,Company name
ジオン公国,Jion Koukoku,吉翁公國,Original Zeon state
ロンド・ベル,Rondo Beru,隆德·貝爾,Military organization
サンシャ,Sansha,新夏,Zeon faction
SIDE 1,SIDE 1,第1衛星帶,Space colony region
東京テレビセンター,Toukyou Terebi Sentaa,東京電視中心,Recording location
サイドカー,Saidokaa,邊車,Mobile suit type reference
ν(ニュー)ガンダム,Nyuu Gundamu,鈕·高達,Amuro's new mobile suit
サザビ,Sazabi,薩薩比,Char's mobile suit
ガンダムシリーズ,Gundamu Shirizu,高達系列,Franchise name
1988年3月12日,1988nen 3gatsu 12nichi,1988年3月12日,Release date
シャア's反逆,Shaa's Hangyaku,沙亞的反逆,Alternative title
富野由悠季,Tomino Yoshiyuki,富野由悠季,Director name (keep as is)
