term,category,notes
ASW-G-01,型號,高達巴力
ASW-G-08,型號,高達巴巴托司
ASW-G-11,型號,高達古辛
ASW-G-66,型號,高達錫蒙力
ASW-G-64,型號,高達佛勞洛斯
ASW-G-XX,型號,高達骨架通用編號格式
EB-06,型號,古尼捷
EB-06s,型號,舒華爾比·古尼捷
EB-06r,型號,古尼捷·烈達
EB-08,型號,基尼爾
EB-08s,型號,基尼爾·莎佛歷達
EB-AX2,型號,古尼捷·艾因
UGY-R41,型號,旋風·羅迪
V08-1228,型號,哈斯武（機動裝甲）
P.D.,紀年,Post Disaster 災難戰後紀年
P.D.323,紀年,第一季時間點
P.D.325,紀年,第二季時間點
HG,模型級別,High Grade 1/144
MG,模型級別,Master Grade 1/100
RG,模型級別,Real Grade 1/144
PG,模型級別,Perfect Grade 1/60
MGEX,模型級別,Master Grade Extreme
SD,模型級別,Super Deformed
FM,模型級別,Full Mechanics 1/100
SDCS,模型級別,SD Cross Silhouette
HG IBO,模型系列,High Grade Iron-Blooded Orphans
METAL BUILD,商品線,萬代高端合金玩具
METAL ROBOT魂,商品線,萬代高端合金可動模型
ROBOT魂,商品線,萬代可動模型
Barbatos,英文名,巴巴托司（包裝及水貼常見）
Lupus,英文名,狼式（包裝常見）
Lupus Rex,英文名,狼王式（包裝常見）
Gusion,英文名,古辛（包裝常見）
Rebake,英文名,重鍛型（包裝常見）
Full City,英文名,FC（包裝常見）
Kimaris,英文名,錫蒙力（包裝常見）
Vidar,英文名,維度爾（包裝常見）
Flauros,英文名,佛勞洛斯（包裝常見）
Bael,英文名,巴力（包裝常見）
Graze,英文名,古尼捷（包裝常見）
Schwalbe,英文名,舒華爾比（包裝常見）
Reginlaze,英文名,雷金尼捷（包裝常見）
Geirail,英文名,基尼爾（包裝常見）
Hashmal,英文名,哈斯武（包裝常見）
Astaroth,英文名,亞斯塔錄（包裝常見）
Marchosias,英文名,馬可西亞斯（包裝常見）
Tekkadan,英文名,鐵華團（包裝及設定常見）
Gjallarhorn,英文名,加拉爾號角（包裝及設定常見）
Teiwaz,英文名,提華茲（設定常見）
BANDAI,品牌,萬代
BANDAI SPIRITS,品牌,萬代精神
SUNRISE,品牌,日昇動畫
Alaya-Vijnana,術語,阿賴耶識（系統英文名）
Ahab,術語,亞哈（反應爐/波嘅英文名）
Nano Laminate,術語,納米層（裝甲嘅英文名）
Dainsleif,術語,丹因斯尼夫（武器英文名）
1/144,比例,HG / RG 模型比例
1/100,比例,MG / FM 模型比例
1/60,比例,PG 模型比例
Runner,模型術語,零件框架（水口板）
Gate,模型術語,水口
Decal,模型術語,水貼
Panel Line,模型術語,墨線
Top Coat,模型術語,保護漆
Nub,模型術語,水口痕
Inner Frame,模型術語,內構骨架
